"nik","nama","tempat_lahir","tanggal_lahir","jenis_kelamin","alamat","rt","rw","agama","bekerja"
"317506100200001","ALEX IVAN TOYONO","Jakarta","2/8/2003","L","Taman Modern Blok B5 no  05","1","6","Kristen Protestan","Y"
"317506100200002","ABDUL AZIZ","Jakarta","2/9/2003","L","Taman Modern Blok B5 no  032","2","6","Kristen Protestan","Y"
"317506100200003","YULIANA SUKARMO MADI ","Jakarta","2/10/2001","P","Taman Modern Blok B3 no  017","3","6","Kristen Protestan","Y"
"317506100200004","JOJO WAHYUDIH","Jakarta","2/11/2001","L","Taman Modern Blok B3 no  017","10","6","Islam","Y"
"317506100200005","MASRICHI","Jakarta","2/12/2000","L","Taman Modern Blok C2 no  01","9","6","Islam","Y"
"317506100200006","YAYAT SUPRATMAN ","Jakarta","2/13/2000","L","Taman Modern Blok F3 no  12A","8","6","Islam","Y"
"317506100200007","MAGRIAH","Jakarta","2/14/2000","L","Taman Modern Blok B5 no  18","2","6","Islam","Y"
"317506100200008","RUSNADI AMIRIDIN","Jakarta","2/15/2000","L","Taman Modern Blok B5 no  02","4","6","Islam","T"
"317506100200009","ROHENDI ","Jakarta","2/16/2000","L","Taman Modern Blok D1 no  26","6","6","Islam","T"
"317506100200010","ARIFIN SYAHPUTRA","Jakarta","2/17/2000","L","Taman Modern Blok D1 no 02","5","6","Islam","T"
"317506100200011","FITRI ANDAYANI","Jakarta","2/18/2000","P","Metland Metnteng Blok N no 11","10","1","Islam","T"
"317506100200012","ERNA YUNIATI","Jakarta","2/19/2000","P","Metland Metnteng Blok N no 05","1","1","Islam","Y"
"317506100200013","LIDYA PRISKA WATI","Jakarta","2/20/2000","P","Metland Metnteng Blok N no 15","9","1","Islam","Y"
"317506100200014","TINA SRI HAMDAYATI","Jakarta","2/21/2000","P","Metland Metnteng Blok A no 10","1","1","Islam","Y"
"317506100200015","SONIA SIANTURI","Jakarta","2/22/2000","P","Metland Metnteng Blok N no 17","8","1","Islam","Y"
"317506100200016","NUNUNG","Jakarta","2/23/2000","P","Metland Metnteng Blok N no 18","3","1","Islam","Y"
"317506100200017","YAYUK BUDI IRYAWATI","Jakarta","2/24/2000","P","Metland Metnteng Blok N no 19","7","1","Islam","Y"
"317506100200018","SIWI PONIYATI","Jakarta","2/25/2000","P","Metland Metnteng Blok N no 20","4","1","Islam","Y"
"317506100200019","SITI WULANDARI","Jakarta","2/26/2000","P","Metland Metnteng Blok N no 21","6","1","Islam","Y"
